epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,94.0121,0.39996,0.56385,1.00661,0.99805,1,0.995,0.94738,0.30474,0.29051,0.92545,0.00038175,0.00038175,0.00038175
45,95.9986,0.38112,0.553,0.95884,0.99769,1,0.995,0.9238,0.34841,0.30706,0.9927,0.000379,0.000379,0.000379
46,98.2403,0.37066,0.53876,0.9551,0.99803,1,0.995,0.94625,0.28559,0.27935,0.92591,0.00037625,0.00037625,0.00037625
47,100.258,0.36108,0.53227,0.94662,0.9978,1,0.995,0.96426,0.25368,0.24598,0.9009,0.0003735,0.0003735,0.0003735
48,102.324,0.39792,0.54831,1.00264,0.99789,1,0.995,0.98267,0.2492,0.2648,0.89856,0.00037075,0.00037075,0.00037075
49,104.217,0.36645,0.52324,0.95985,0.99787,1,0.995,0.98424,0.2434,0.26505,0.89316,0.000368,0.000368,0.000368
50,106.467,0.40171,0.58813,0.9962,0.99734,1,0.995,0.98816,0.27146,0.29592,0.92536,0.00036525,0.00036525,0.00036525
51,109.38,0.36733,0.54659,0.96611,0.99748,1,0.995,0.97809,0.26003,0.28919,0.90896,0.0003625,0.0003625,0.0003625
52,111.318,0.40025,0.54484,1.00054,0.99766,1,0.995,0.97801,0.25237,0.27232,0.89755,0.00035975,0.00035975,0.00035975
53,113.569,0.39443,0.49785,0.9972,0.99813,1,0.995,0.97579,0.24901,0.25139,0.9007,0.000357,0.000357,0.000357
54,115.678,0.39267,0.55379,1.00387,0.99812,1,0.995,0.98351,0.25103,0.22735,0.89592,0.00035425,0.00035425,0.00035425
55,117.631,0.40239,0.52837,0.98664,0.99779,1,0.995,0.96891,0.29495,0.27418,0.90802,0.0003515,0.0003515,0.0003515
56,122.502,0.42258,0.53904,1.00395,0.99777,1,0.995,0.96418,0.28161,0.27267,0.92081,0.00034875,0.00034875,0.00034875
57,124.538,0.39072,0.5141,0.98937,0.99802,1,0.995,0.97722,0.29565,0.25364,0.93115,0.000346,0.000346,0.000346
58,126.409,0.36353,0.48243,0.95155,0.99796,1,0.995,0.98211,0.25294,0.24103,0.89649,0.00034325,0.00034325,0.00034325
59,128.474,0.37455,0.47815,0.96293,0.99798,1,0.995,0.98706,0.22599,0.23356,0.88352,0.0003405,0.0003405,0.0003405
60,130.465,0.36163,0.46374,0.987,0.99797,1,0.995,0.99112,0.21795,0.23187,0.87974,0.00033775,0.00033775,0.00033775
61,132.434,0.34911,0.47144,0.95271,0.99798,1,0.995,0.995,0.21366,0.21161,0.87716,0.000335,0.000335,0.000335
62,134.277,0.3756,0.5019,0.97205,0.99798,1,0.995,0.98028,0.21439,0.20731,0.87636,0.00033225,0.00033225,0.00033225
63,136.275,0.35144,0.48835,0.9523,0.99801,1,0.995,0.97032,0.23901,0.21683,0.89011,0.0003295,0.0003295,0.0003295
64,138.244,0.3628,0.48348,0.9803,0.99799,1,0.995,0.97554,0.26165,0.23157,0.90407,0.00032675,0.00032675,0.00032675
65,142.165,0.37756,0.472,0.97044,0.99798,1,0.995,0.98159,0.23571,0.2157,0.90238,0.000324,0.000324,0.000324
66,144.889,0.38202,0.46061,0.98616,0.99803,1,0.995,0.98418,0.23929,0.22065,0.90045,0.00032125,0.00032125,0.00032125
67,147.395,0.37352,0.46335,0.97675,0.99794,1,0.995,0.97988,0.22351,0.23749,0.89049,0.0003185,0.0003185,0.0003185
68,149.485,0.32399,0.42714,0.95271,0.99793,1,0.995,0.98792,0.22531,0.22704,0.89099,0.00031575,0.00031575,0.00031575
69,151.71,0.33244,0.44044,0.96136,0.99796,1,0.995,0.98852,0.22139,0.21706,0.88944,0.000313,0.000313,0.000313
70,153.62,0.35083,0.4367,0.94383,0.99789,1,0.995,0.995,0.23588,0.23028,0.8918,0.00031025,0.00031025,0.00031025
71,156.996,0.35341,0.45199,0.98293,0.99806,1,0.995,0.99082,0.23388,0.24251,0.88535,0.0003075,0.0003075,0.0003075
72,159.072,0.35994,0.45359,0.95729,0.99787,1,0.995,0.97651,0.21284,0.21588,0.87781,0.00030475,0.00030475,0.00030475
73,161.036,0.34266,0.43591,0.95419,0.99797,1,0.995,0.9868,0.20652,0.18664,0.87523,0.000302,0.000302,0.000302
74,163.151,0.35755,0.43796,0.95688,0.99798,1,0.995,0.99215,0.19611,0.18955,0.87381,0.00029925,0.00029925,0.00029925
75,165.306,0.34319,0.41889,0.94924,0.99799,1,0.995,0.99214,0.21167,0.18547,0.87295,0.0002965,0.0002965,0.0002965
76,167.402,0.35655,0.44198,0.95006,0.99799,1,0.995,0.98229,0.20761,0.20906,0.87297,0.00029375,0.00029375,0.00029375
77,169.343,0.327,0.40315,0.93877,0.99799,1,0.995,0.98796,0.21806,0.21288,0.8804,0.000291,0.000291,0.000291
78,171.174,0.33906,0.4149,0.94026,0.99794,1,0.995,0.98412,0.22676,0.2169,0.88097,0.00028825,0.00028825,0.00028825
79,173.093,0.36596,0.41736,0.97123,0.99807,1,0.995,0.98387,0.21586,0.21378,0.8799,0.0002855,0.0002855,0.0002855
80,174.978,0.34978,0.41244,0.95829,0.99801,1,0.995,0.98851,0.21867,0.17919,0.88271,0.00028275,0.00028275,0.00028275
81,176.752,0.33587,0.39104,0.92088,0.99801,1,0.995,0.98457,0.22027,0.20733,0.88725,0.00028,0.00028,0.00028
82,178.522,0.33956,0.41926,0.95143,0.99766,1,0.995,0.98304,0.23263,0.23544,0.887,0.00027725,0.00027725,0.00027725
83,180.451,0.34323,0.39471,0.94721,0.99765,1,0.995,0.98632,0.21137,0.22693,0.87637,0.0002745,0.0002745,0.0002745
84,182.402,0.33085,0.39578,0.94503,0.9979,1,0.995,0.98443,0.21352,0.1833,0.87617,0.00027175,0.00027175,0.00027175
85,184.373,0.33628,0.3957,0.94825,0.99803,1,0.995,0.98645,0.21768,0.18696,0.87561,0.000269,0.000269,0.000269
86,186.265,0.30111,0.39201,0.9367,0.99805,1,0.995,0.995,0.21666,0.17963,0.87314,0.00026625,0.00026625,0.00026625
