epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,80.3853,0.43856,0.5669,1.03265,0.99726,1,0.995,0.95658,0.29377,0.35428,0.90742,0.000480562,0.000480562,0.000480562
45,82.0162,0.39779,0.55302,0.96622,0.99671,1,0.995,0.95274,0.3091,0.30779,0.92448,0.00048011,0.00048011,0.00048011
46,83.6769,0.37159,0.51859,0.95433,0.99721,1,0.995,0.9468,0.28187,0.26273,0.91398,0.000479658,0.000479658,0.000479658
47,85.5843,0.37832,0.52211,0.9547,0.99807,1,0.995,0.96152,0.29422,0.27153,0.92034,0.000479205,0.000479205,0.000479205
48,87.366,0.41333,0.54652,0.99841,0.99769,1,0.995,0.89297,0.33141,0.35001,0.9386,0.000478753,0.000478753,0.000478753
49,89.0513,0.38462,0.51989,0.95708,0.99763,1,0.995,0.96272,0.30252,0.27447,0.93041,0.000478301,0.000478301,0.000478301
50,90.8535,0.41772,0.55859,0.99788,0.99755,1,0.995,0.96969,0.26424,0.25766,0.90862,0.000477849,0.000477849,0.000477849
51,92.6952,0.36993,0.51691,0.9747,0.99767,1,0.995,0.97284,0.26914,0.24572,0.90159,0.000477397,0.000477397,0.000477397
52,95.8334,0.37507,0.52304,0.9922,0.99785,1,0.995,0.95661,0.25619,0.27332,0.89825,0.000476945,0.000476945,0.000476945
53,97.5483,0.39989,0.4995,0.98594,0.99799,1,0.995,0.97482,0.25663,0.26214,0.88893,0.000476493,0.000476493,0.000476493
54,99.39,0.40167,0.5164,1.00165,0.99796,1,0.995,0.97449,0.26953,0.25792,0.88989,0.000476041,0.000476041,0.000476041
55,101.446,0.41679,0.51693,0.99416,0.99779,1,0.995,0.94878,0.34173,0.2733,0.94054,0.000475589,0.000475589,0.000475589
56,103.296,0.4272,0.51899,0.99502,0.99796,1,0.995,0.96973,0.28618,0.24906,0.90637,0.000475137,0.000475137,0.000475137
57,105.131,0.41541,0.47658,0.99989,0.99806,1,0.995,0.97894,0.25574,0.21705,0.88899,0.000474685,0.000474685,0.000474685
58,106.846,0.3885,0.46134,0.96211,0.99807,1,0.995,0.98109,0.26941,0.23727,0.8964,0.000474233,0.000474233,0.000474233
59,108.558,0.40812,0.47803,0.96931,0.99801,1,0.995,0.98569,0.2622,0.23213,0.90296,0.000473781,0.000473781,0.000473781
60,110.395,0.37303,0.45371,0.98131,0.99791,1,0.995,0.98968,0.23636,0.23614,0.88504,0.000473329,0.000473329,0.000473329
61,112.387,0.37771,0.46305,0.96153,0.99798,1,0.995,0.97524,0.24965,0.23554,0.88804,0.000472877,0.000472877,0.000472877
62,113.96,0.37423,0.46708,0.97116,0.99802,1,0.995,0.98192,0.25931,0.26826,0.89236,0.000472425,0.000472425,0.000472425
63,115.57,0.35922,0.46541,0.95487,0.99804,1,0.995,0.98663,0.25673,0.24669,0.90647,0.000471973,0.000471973,0.000471973
64,117.314,0.38373,0.47675,0.98922,0.99815,1,0.995,0.98414,0.24582,0.25711,0.88747,0.000471521,0.000471521,0.000471521
65,119.168,0.39049,0.46956,0.97856,0.99799,1,0.995,0.96785,0.25257,0.23118,0.8882,0.000471068,0.000471068,0.000471068
66,120.875,0.39785,0.45258,0.98903,0.99818,1,0.995,0.98049,0.23424,0.23434,0.88285,0.000470616,0.000470616,0.000470616
67,122.653,0.39286,0.45536,0.97664,0.99822,1,0.995,0.9878,0.23368,0.2313,0.88751,0.000470164,0.000470164,0.000470164
68,124.391,0.36497,0.4361,0.96608,0.99799,1,0.995,0.98717,0.27111,0.26098,0.9027,0.000469712,0.000469712,0.000469712
69,126.285,0.35858,0.43003,0.97208,0.99794,1,0.995,0.98128,0.26138,0.2675,0.89727,0.00046926,0.00046926,0.00046926
70,129.674,0.38228,0.44527,0.95742,0.99798,1,0.995,0.96946,0.25522,0.25328,0.8931,0.000468808,0.000468808,0.000468808
71,131.5,0.38862,0.44168,1.00068,0.99807,1,0.995,0.97427,0.23786,0.24802,0.89318,0.000468356,0.000468356,0.000468356
72,133.768,0.39932,0.45163,0.97018,0.99721,1,0.995,0.98109,0.21864,0.24151,0.8816,0.000467904,0.000467904,0.000467904
73,135.715,0.37013,0.43737,0.97026,0.99286,1,0.995,0.98113,0.23844,0.26464,0.8917,0.000467452,0.000467452,0.000467452
74,137.701,0.3805,0.41094,0.97408,0.98246,1,0.995,0.99166,0.26064,0.40209,0.90847,0.000467,0.000467,0.000467
75,139.708,0.37442,0.41467,0.96779,0.9929,1,0.995,0.98128,0.27291,0.32096,0.90174,0.000466548,0.000466548,0.000466548
76,141.643,0.39162,0.42886,0.97944,0.99794,1,0.995,0.95817,0.26563,0.22554,0.9012,0.000466096,0.000466096,0.000466096
77,143.578,0.33565,0.40443,0.93651,0.99791,1,0.995,0.97856,0.2287,0.21631,0.89059,0.000465644,0.000465644,0.000465644
78,145.329,0.33496,0.39124,0.93517,0.99791,1,0.995,0.98283,0.24926,0.22618,0.89636,0.000465192,0.000465192,0.000465192
