epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2807,0.7649,3.96003,1.31217,0,0,0,0,0.42307,3.6311,1.19611,4e-05,4e-05,4e-05
2,7.03635,0.62675,3.27482,1.18826,0.64516,0.76923,0.82161,0.77193,0.4004,3.40428,1.13264,8.44464e-05,8.44464e-05,8.44464e-05
3,10.4885,0.60247,2.2843,1.18486,0.40625,1,0.96145,0.88123,0.40385,2.91414,1.03256,0.000128307,0.000128307,0.000128307
4,13.9537,0.57895,1.62905,1.14723,0.61905,1,0.995,0.86408,0.4567,2.60289,1.12258,0.000171581,0.000171581,0.000171581
5,17.1263,0.64996,1.41582,1.211,1,0.96973,0.995,0.89861,0.54113,1.29382,1.12652,0.000214268,0.000214268,0.000214268
6,20.2435,0.6138,1.27834,1.13548,1,0.99955,0.995,0.89361,0.45878,0.58804,1.04136,0.00025637,0.00025637,0.00025637
7,24.6552,0.48919,1.1185,1.05294,0.99468,1,0.995,0.9231,0.3546,0.57248,0.97116,0.000297886,0.000297886,0.000297886
8,28.0513,0.53035,1.10023,1.07011,0.99988,1,0.995,0.93034,0.36605,0.49101,0.99291,0.000338815,0.000338815,0.000338815
9,31.4303,0.57493,1.12412,1.14029,1,0.95856,0.995,0.93428,0.33825,0.6536,0.9487,0.000379158,0.000379158,0.000379158
10,32.641,0.53403,1.07542,1.07576,0.99835,1,0.995,0.91655,0.36021,0.80108,0.96323,0.000418915,0.000418915,0.000418915
11,35.7652,0.47116,0.98007,1.03274,0.99782,1,0.995,0.93538,0.36267,0.42192,0.97422,0.000458086,0.000458086,0.000458086
12,39.0158,0.44818,0.9009,1.03189,0.99712,1,0.995,0.93855,0.34459,0.50007,0.95206,0.000464178,0.000464178,0.000464178
13,41.9853,0.53004,0.96368,1.09295,0.99856,1,0.995,0.97035,0.29806,0.4134,0.92378,0.000460921,0.000460921,0.000460921
14,45.1156,0.46132,0.89016,1.02009,1,0.99914,0.995,0.96237,0.3017,0.4151,0.9468,0.000457664,0.000457664,0.000457664
15,48.3505,0.47539,0.86537,1.04098,0.99538,1,0.995,0.95936,0.34884,0.45333,0.96666,0.000454408,0.000454408,0.000454408
16,51.3441,0.50376,0.91495,1.07077,0.9977,1,0.995,0.94345,0.39119,0.41747,0.98952,0.000451151,0.000451151,0.000451151
17,54.9409,0.50641,0.88619,1.0426,0.99806,1,0.995,0.94296,0.33329,0.43787,0.95545,0.000447895,0.000447895,0.000447895
